报道时间,国家,地区,城市,新增确诊,新增出院,新增死亡,消息来源
2月13日,中国,北京,房山区,0,0,0,央视新闻
2月13日,中国,北京,门头沟区,0,0,0,央视新闻
2月13日,中国,北京,海淀区,0,0,0,央视新闻
2月13日,中国,北京,石景山区,0,0,0,央视新闻
2月13日,中国,北京,丰台区,4,0,0,央视新闻
2月13日,中国,北京,朝阳区,0,0,0,央视新闻
2月13日,中国,北京,西城区,3,0,0,央视新闻
2月13日,中国,北京,东城区,0,0,0,央视新闻
2月13日,中国,云南,地市明细不详,0,-5,0,云南卫健委
2月13日,中国,云南,西双版纳州,0,1,0,云南卫健委
2月13日,中国,云南,丽江市,0,1,0,云南卫健委
2月13日,中国,云南,玉溪市,0,2,0,云南卫健委
2月13日,中国,云南,昆明市,1,0,0,云南卫健委
2月13日,中国,天津,北辰区,1,0,0,央视新闻
2月13日,中国,陕西,西安市,4,0,0,央视新闻
2月13日,中国,广东,揭阳市,0,2,0,广东卫健委
2月13日,中国,广东,潮州市,0,0,0,广东卫健委
2月13日,中国,广东,中山市,2,7,0,广东卫健委
2月13日,中国,广东,东莞市,3,4,1,广东卫健委
2月13日,中国,广东,清远市,0,2,0,广东卫健委
2月13日,中国,广东,阳江市,0,0,0,广东卫健委
2月13日,中国,广东,河源市,0,1,0,广东卫健委
2月13日,中国,广东,汕尾市,0,0,0,广东卫健委
2月13日,中国,广东,梅州市,0,0,0,广东卫健委
2月13日,中国,广东,惠州市,1,3,0,广东卫健委
2月13日,中国,广东,肇庆市,0,4,0,广东卫健委
2月13日,中国,广东,茂名市,0,1,0,广东卫健委
2月13日,中国,广东,湛江市,0,3,0,广东卫健委
2月13日,中国,广东,江门市,1,0,0,广东卫健委
2月13日,中国,广东,佛山市,3,2,0,广东卫健委
2月13日,中国,广东,汕头市,0,1,0,广东卫健委
2月13日,中国,广东,珠海市,2,13,0,广东卫健委
2月13日,中国,广东,深圳市,5,0,0,广东卫健委
2月13日,中国,广东,韶关市,1,1,0,广东卫健委
2月13日,中国,广东,广州市,4,28,0,广东卫健委
2月13日,俄罗斯,俄罗斯,,0,1,0,澎湃新闻
2月12日,俄罗斯,俄罗斯,,0,1,0,澎湃新闻
2月13日,美国,美国,,1,0,0,央视新闻
2月13日,中国,内蒙古,锡林郭勒盟,1,0,0,内蒙古卫建委
2月13日,中国,宁夏,吴忠市,3,0,0,宁夏卫建委
2月13日,中国,宁夏,固原市,2,0,0,宁夏卫建委
2月13日,中国,宁夏,银川市,1,2,0,宁夏卫建委
2月13日,中国,浙江,丽水市,0,2,0,浙江卫健委
2月13日,中国,浙江,绍兴市,0,2,0,浙江卫健委
2月13日,中国,浙江,宁波市,0,7,0,浙江卫健委
2月13日,中国,浙江,台州市,1,8,0,浙江卫健委
2月13日,中国,浙江,金华市,1,3,0,浙江卫健委
2月13日,中国,浙江,温州市,9,13,0,浙江卫健委
2月13日,中国,浙江,杭州市,3,11,0,浙江卫健委
2月13日,中国,江西,鹰潭市,0,1,0,央视
2月13日,中国,江西,上饶市,3,2,0,央视
2月13日,中国,江西,抚州市,1,3,0,央视
2月13日,中国,江西,赣州市,4,2,0,央视
2月13日,中国,江西,新余市,4,2,0,央视
2月13日,中国,江西,九江市,4,0,0,央视
2月13日,中国,江西,南昌市,5,6,0,央视
2月13日,中国,江西,宜春市,7,0,0,央视
2月13日,中国,湖南,郴州市,0,1,0,湖南卫健委
2月13日,中国,湖南,湘潭市,0,1,0,湖南卫健委
2月13日,中国,湖南,娄底市,3,4,0,湖南卫健委
2月13日,中国,湖南,益阳市,1,0,0,湖南卫健委
2月13日,中国,湖南,常德市,2,6,0,湖南卫健委
2月13日,中国,湖南,岳阳市,2,18,0,湖南卫健委
2月13日,中国,湖南,邵阳市,5,3,0,湖南卫健委
2月13日,中国,湖南,株洲市,4,2,0,湖南卫健委
2月13日,中国,湖南,长沙市,5,1,0,湖南卫健委
2月13日,中国,新疆,新疆生产建设兵团,1,0,1,新疆卫建委
2月13日,中国,新疆,伊犁州,2,0,0,新疆卫建委
2月13日,中国,新疆,乌鲁木齐市,1,0,0,新疆卫建委
2月13日,中国,贵州,黔西南州,0,2,0,央视新闻
2月13日,中国,贵州,贵阳市,2,0,0,央视新闻
