relation,node1,node2
"履历","character/resource/R491","character/resource/R545"
"履历","character/resource/R491","character/resource/R546"
"重要成果","character/resource/R491","character/resource/R512"
"重要成果","character/resource/R491","character/resource/R511"
"重要成果","character/resource/R491","character/resource/R514"
"重要成果","character/resource/R491","character/resource/R518"
"重要成果","character/resource/R491","character/resource/R513"
"重要成果","character/resource/R491","character/resource/R516"
"重要成果","character/resource/R491","character/resource/R515"
"重要成果","character/resource/R491","character/resource/R509"
"重要成果","character/resource/R491","character/resource/R510"
"重要成果","character/resource/R491","character/resource/R517"
"同事","character/resource/R491","character/resource/R765"
"同事","character/resource/R491","character/resource/R767"
"同事","character/resource/R491","character/resource/R762"
"同事","character/resource/R491","character/resource/R764"
"同事","character/resource/R491","character/resource/R769"
"同事","character/resource/R491","character/resource/R763"
"同事","character/resource/R491","character/resource/R761"
"同事","character/resource/R491","character/resource/R766"
"同事","character/resource/R491","character/resource/R768"
"同事","character/resource/R491","character/resource/R760"
"同事","character/resource/R491","character/resource/R758"
"现任机构","character/resource/R491","character/resource/R771"
"国籍","character/resource/R491","character/resource/R23"
"研究方向","character/resource/R491","character/resource/R494"
"研究方向","character/resource/R491","character/resource/R492"
"研究方向","character/resource/R491","character/resource/R493"
"毕业院校","character/resource/R491","character/resource/R198"
"参与战役","character/resource/R491","character/resource/R27"
"参与战役","character/resource/R491","character/resource/R26"
"发布","character/resource/R50","character/resource/R103"
"相关","character/resource/R50","character/resource/R106"
"相关","character/resource/R50","character/resource/R107"
"相关","character/resource/R50","character/resource/R798"
"相关","character/resource/R50","character/resource/R104"
"相关","character/resource/R50","character/resource/R105"
"相关","character/resource/R50","character/resource/R22"
"相关","character/resource/R50","character/resource/R797"
"发布","character/resource/R509","character/resource/R763"
"相关","character/resource/R509","character/resource/R491"
"相关","character/resource/R509","character/resource/R527"
"发布","character/resource/R51","character/resource/R100"
"相关","character/resource/R51","character/resource/R796"
"相关","character/resource/R51","character/resource/R795"
"相关","character/resource/R51","character/resource/R22"
"相关","character/resource/R51","character/resource/R102"
"相关","character/resource/R51","character/resource/R101"
"相关","character/resource/R51","character/resource/R84"
"发布","character/resource/R510","character/resource/R767"
"相关","character/resource/R510","character/resource/R760"
"相关","character/resource/R510","character/resource/R529"
"相关","character/resource/R510","character/resource/R491"
"发布","character/resource/R511","character/resource/R767"
"相关","character/resource/R511","character/resource/R760"
"相关","character/resource/R511","character/resource/R491"
"发布","character/resource/R512","character/resource/R531"
"相关","character/resource/R512","character/resource/R491"
"相关","character/resource/R512","character/resource/R532"
"发布","character/resource/R513","character/resource/R765"
"相关","character/resource/R513","character/resource/R491"
"发布","character/resource/R514","character/resource/R768"
"相关","character/resource/R514","character/resource/R535"
"相关","character/resource/R514","character/resource/R491"
"发布","character/resource/R515","character/resource/R768"
"相关","character/resource/R515","character/resource/R761"
"相关","character/resource/R515","character/resource/R535"
"相关","character/resource/R515","character/resource/R491"
"发布","character/resource/R516","character/resource/R768"
"相关","character/resource/R516","character/resource/R537"
"相关","character/resource/R516","character/resource/R491"
"发布","character/resource/R517","character/resource/R768"
"相关","character/resource/R517","character/resource/R765"
"相关","character/resource/R517","character/resource/R537"
"相关","character/resource/R517","character/resource/R491"
"相关","character/resource/R517","character/resource/R535"
"发布","character/resource/R518","character/resource/R761"
"相关","character/resource/R518","character/resource/R768"
"相关","character/resource/R518","character/resource/R760"
"相关","character/resource/R518","character/resource/R491"
"发表","character/resource/R519","character/resource/R518"
"发表","character/resource/R519","character/resource/R517"
"发表","character/resource/R519","character/resource/R515"
"发表","character/resource/R519","character/resource/R513"
"发表","character/resource/R519","character/resource/R509"
"发布","character/resource/R52","character/resource/R108"
"相关","character/resource/R52","character/resource/R22"
"相关","character/resource/R52","character/resource/R107"
"相关","character/resource/R52","character/resource/R109"
"发表","character/resource/R520","character/resource/R510"
"发表","character/resource/R521","character/resource/R511"
"发表","character/resource/R522","character/resource/R512"
"发表","character/resource/R523","character/resource/R514"
"发表","character/resource/R524","character/resource/R516"
"发布","character/resource/R53","character/resource/R110"
"相关","character/resource/R53","character/resource/R84"
"相关","character/resource/R53","character/resource/R793"
"相关","character/resource/R53","character/resource/R22"
"相关","character/resource/R53","character/resource/R112"
"相关","character/resource/R53","character/resource/R111"
"相关","character/resource/R53","character/resource/R86"
"发布","character/resource/R54","character/resource/R22"
"履历","character/resource/R549","character/resource/R583"
"履历","character/resource/R549","character/resource/R584"
"队友","character/resource/R549","character/resource/R565"
"队友","character/resource/R549","character/resource/R566"
"队友","character/resource/R549","character/resource/R561"
